Geo_FIPS,Geo_NAME,Geo_QName,pop_18_in_poverty
19031,Cedar County,"Cedar County, Iowa",368
19033,Cerro Gordo County,"Cerro Gordo County, Iowa",1006
19035,Cherokee County,"Cherokee County, Iowa",313
19037,Chickasaw County,"Chickasaw County, Iowa",140
19039,Clarke County,"Clarke County, Iowa",401
19041,Clay County,"Clay County, Iowa",680
19043,Clayton County,"Clayton County, Iowa",482
19045,Clinton County,"Clinton County, Iowa",1669
19047,Crawford County,"Crawford County, Iowa",964
19049,Dallas County,"Dallas County, Iowa",1280
19051,Davis County,"Davis County, Iowa",325
19053,Decatur County,"Decatur County, Iowa",381
19055,Delaware County,"Delaware County, Iowa",515
19057,Des Moines County,"Des Moines County, Iowa",2159
19059,Dickinson County,"Dickinson County, Iowa",325
19061,Dubuque County,"Dubuque County, Iowa",3016
19063,Emmet County,"Emmet County, Iowa",329
19065,Fayette County,"Fayette County, Iowa",601
19067,Floyd County,"Floyd County, Iowa",916
19069,Franklin County,"Franklin County, Iowa",487
19071,Fremont County,"Fremont County, Iowa",175
19073,Greene County,"Greene County, Iowa",168
19075,Grundy County,"Grundy County, Iowa",167
19077,Guthrie County,"Guthrie County, Iowa",244
19079,Hamilton County,"Hamilton County, Iowa",390
19081,Hancock County,"Hancock County, Iowa",294
19083,Hardin County,"Hardin County, Iowa",501
19085,Harrison County,"Harrison County, Iowa",338
19087,Henry County,"Henry County, Iowa",702
19089,Howard County,"Howard County, Iowa",229
19091,Humboldt County,"Humboldt County, Iowa",394
19093,Ida County,"Ida County, Iowa",95
19095,Iowa County,"Iowa County, Iowa",353
19097,Jackson County,"Jackson County, Iowa",789
19099,Jasper County,"Jasper County, Iowa",659
19101,Jefferson County,"Jefferson County, Iowa",252
19103,Johnson County,"Johnson County, Iowa",4137
19105,Jones County,"Jones County, Iowa",519
19107,Keokuk County,"Keokuk County, Iowa",265
19109,Kossuth County,"Kossuth County, Iowa",443
19111,Lee County,"Lee County, Iowa",1562
19113,Linn County,"Linn County, Iowa",6823
19115,Louisa County,"Louisa County, Iowa",337
19117,Lucas County,"Lucas County, Iowa",308
19119,Lyon County,"Lyon County, Iowa",152
19121,Madison County,"Madison County, Iowa",148
19123,Mahaska County,"Mahaska County, Iowa",885
19125,Marion County,"Marion County, Iowa",603
19127,Marshall County,"Marshall County, Iowa",1597
19129,Mills County,"Mills County, Iowa",299
19131,Mitchell County,"Mitchell County, Iowa",173
19133,Monona County,"Monona County, Iowa",304
19135,Monroe County,"Monroe County, Iowa",171
19137,Montgomery County,"Montgomery County, Iowa",376
19139,Muscatine County,"Muscatine County, Iowa",1441
19141,O'Brien County,"O'Brien County, Iowa",421
19143,Osceola County,"Osceola County, Iowa",330
19145,Page County,"Page County, Iowa",393
19147,Palo Alto County,"Palo Alto County, Iowa",167
19149,Plymouth County,"Plymouth County, Iowa",916
19151,Pocahontas County,"Pocahontas County, Iowa",187
19153,Polk County,"Polk County, Iowa",16111
19155,Pottawattamie County,"Pottawattamie County, Iowa",2970
19157,Poweshiek County,"Poweshiek County, Iowa",291
19159,Ringgold County,"Ringgold County, Iowa",170
19161,Sac County,"Sac County, Iowa",267
19163,Scott County,"Scott County, Iowa",6728
19165,Shelby County,"Shelby County, Iowa",242
19167,Sioux County,"Sioux County, Iowa",628
19169,Story County,"Story County, Iowa",1497
19171,Tama County,"Tama County, Iowa",732
19173,Taylor County,"Taylor County, Iowa",151
19175,Union County,"Union County, Iowa",461
19177,Van Buren County,"Van Buren County, Iowa",317
19179,Wapello County,"Wapello County, Iowa",1587
19181,Warren County,"Warren County, Iowa",1236
19183,Washington County,"Washington County, Iowa",740
19185,Wayne County,"Wayne County, Iowa",476
19187,Webster County,"Webster County, Iowa",1266
19189,Winnebago County,"Winnebago County, Iowa",284
19191,Winneshiek County,"Winneshiek County, Iowa",377
19193,Woodbury County,"Woodbury County, Iowa",4561
